Student_number,Ability,Difference_in_days,Gender,TotalpreA,TotalpostA,TotalretA,DiffprepostA,SoW
HB2816,l,3755,M,4,7,7,3,2
SG1615,l,3959,M,5,5,6,0,2
SM4a18,l,3756,M,1,2,3,1,2
SM4a19,l,3652,F,5,6,5,1,2
SM4a20,l,3758,F,2,3,6,1,2
SM4a21,l,3783,M,4,10,NA,6,2
SM4a22,l,3831,F,3,5,4,2,2
SM4a23,l,3843,M,5,6,6,1,2
SM4a24,l,3703,M,4,5,7,1,2
SM4a25,l,3883,M,2,5,7,3,2
SW1515,l,4059,M,3,10,NA,7,2
SW1516,l,3962,F,7,11,NA,4,2
SW1517,l,3981,M,2,10,NA,8,2
BH2620,l,4077,M,2,8,NA,6,3
BH2621,l,4058,M,5,8,NA,3,3
BH2622,l,3865,M,2,10,NA,8,3
BH2623,l,3933,F,4,8,NA,4,3
BH2624,l,4003,F,6,6,NA,0,3
BH2714,l,3922,M,4,13,NA,9,3
BH2715,l,3996,M,7,5,NA,-2,3
BH2716,l,3893,F,4,13,NA,9,3
BH2717,l,3870,F,4,12,NA,8,3
BH2718,l,3847,F,7,7,NA,0,3
BH2719,l,3870,M,7,8,NA,1,3
BH2720,l,3914,F,2,8,NA,6,3
BH2721,l,3990,M,4,11,NA,7,3
BH2722,l,3825,F,6,11,NA,5,3
BH2724,l,3900,F,4,10,NA,6,3
DV1817,l,4152,M,7,9,9,2,3
DV1818,l,4111,M,6,5,3,-1,3
DV1819,l,3894,M,5,8,9,3,3
DV1820,l,4014,M,7,6,9,-1,3
DV1821,l,4130,M,6,6,4,0,3
DV1822,l,3891,F,5,8,4,3,3
DV1823,l,4309,F,6,7,8,1,3
DV1824,l,4094,F,9,6,NA,-3,3
NB1721,l,3776,F,4,13,6,9,3
NB1722,l,3750,F,3,9,9,6,3
NB1723,l,3638,F,6,13,9,7,3
NB1724,l,4105,F,3,8,8,5,3
NB1725,l,4069,M,5,12,5,7,3
NB1726,l,4066,F,5,5,3,0,3
NB1727,l,4142,F,4,8,8,4,3
NB1728,l,3990,M,2,7,3,5,3
NB1729,l,4054,F,1,9,4,8,3
OP31a22,l,3938,M,3,8,NA,5,3
OP31a23,l,4245,M,4,6,NA,2,3
OP31a24,l,4026,M,6,7,NA,1,3
OP31a25,l,3922,M,4,5,NA,1,3
OP31a26,l,3955,M,4,8,NA,4,3
OP31a27,l,4035,F,8,8,NA,0,3
OP31a28,l,4230,F,3,6,NA,3,3
OP322,l,3948,M,2,4,NA,2,3
OP3223,l,4255,M,3,6,NA,3,3
OP3224,l,4068,M,3,4,NA,1,3
OP3225,l,4145,M,4,7,NA,3,3
OP3226,l,4102,F,4,6,NA,2,3
OP3227,l,4024,F,3,4,NA,1,3
OP3228,l,4214,F,2,7,NA,5,3
DO12b1,l,4162,F,6,7,NA,1,4
DO12b2,l,3957,F,4,6,NA,2,4
DO12b3,l,3983,F,5,9,NA,4,4
DO12b4,l,4096,F,6,8,NA,2,4
DO12b5,l,4277,M,3,5,NA,2,4
DO12b6,l,4259,F,6,9,NA,3,4
DO12b7,l,4089,M,7,9,NA,2,4
DO12b8,l,4052,M,5,5,NA,0,4
DO12b9,l,4152,M,7,4,NA,-3,4
DO111,l,4157,M,4,8,NA,4,4
DO112,l,4102,M,6,9,NA,3,4
DO113,l,3979,F,3,8,NA,5,4
DO114,l,4089,F,7,9,NA,2,4
DO115,l,4277,M,6,6,NA,0,4
DO116,l,4068,F,2,8,NA,6,4
DO117,l,4188,F,8,14,NA,6,4
DO118,l,4235,F,7,12,NA,5,4
DO119,l,4257,M,6,6,NA,0,4
DO1110,l,4125,F,8,9,NA,1,4
DO1111,l,4051,F,8,9,NA,1,4
DO1112,l,3936,M,3,5,NA,2,4
DO1113,l,3953,M,1,7,NA,6,4
DO1114,l,4187,M,2,7,NA,5,4
DO131,l,4318,M,8,6,NA,-2,4
DO132,l,4062,M,5,8,NA,3,4
DO133,l,4363,F,6,6,NA,0,4
DO134,l,4182,M,6,6,NA,0,4
DO141,l,4141,M,1,7,NA,6,4
DO142,l,3998,F,4,7,NA,3,4
DO143,l,4161,F,7,4,NA,-3,4
DO144,l,4048,M,5,4,NA,-1,4
DO145,l,4204,F,6,8,NA,2,4
DO146,l,4063,M,6,6,NA,0,4
FF1a3,l,4079,M,6,6,7,0,4
FF1a12,l,3989,F,5,5,6,0,4
FF1a16,l,3993,M,2,8,4,6,4
EM36a19,l,3961,M,3,9,NA,6,3
EM36a20,l,3831,M,5,7,NA,2,3
EM36b14,l,3757,M,1,6,NA,5,3
EM36b15,l,3840,M,2,7,NA,5,3
EM37a22,l,3818,M,3,2,NA,-1,3
EM37a23,l,3833,M,6,8,NA,2,3
EM37a24,l,4039,F,4,6,NA,2,3
EM37a25,l,3983,F,7,8,NA,1,3
EM37a26,l,3793,F,2,4,NA,2,3
EM37b8,l,3770,F,3,8,NA,5,3
EM37b21,l,3847,M,5,5,NA,0,3
EM37b22,l,3855,F,4,3,NA,-1,3
EM37b23,l,3908,F,5,7,NA,2,3
