Student_number,Ability,Difference_in_days,Gender,TotalpreA,TotalpostA,TotalretA,DiffprepostA,SoW
ST5029,M,3720,M,3,2,2,-1,1
ST5030,M,3789,F,5,4,na,-1,1
ST5031,M,4049,F,1,5,na,4,1
ST5032,H,3995,M,6,12,na,6,1
ST5033,M,3838,F,7,9,na,2,1
ST5034,M,3824,F,5,na,na,na,1
ST511,M,3938,M,7,11,11,4,1
ST512,H,3968,M,11,11,14,0,1
ST513,M,4091,M,6,5,5,-1,1
ST514,M,3878,F,6,10,10,4,1
ST515,M,3460,F,5,9,11,4,1
ST516,M,3912,M,1,7,11,6,1
ST517,M,3453,F,7,10,12,3,1
ST518,M,3970,M,13,7,14,-6,1
ST519,M,3969,F,5,4,12,-1,1
ST5110,M,3551,F,7,9,9,2,1
ST5111,M,3821,M,7,11,14,4,1
ST5112,M,3694,F,9,10,12,1,1
ST5113,M,3749,F,5,7,10,2,1
ST5114,L,3851,F,4,4,10,0,1
ST5115,M,4026,M,12,6,9,-6,1
ST5116,L,3820,F,2,7,7,5,1
ST5117,L,4065,F,5,11,14,6,1
ST5118,M,4071,F,6,8,12,2,1
ST5119,M,4014,M,5,8,11,3,1
ST5120,M,4004,F,6,12,12,6,1
ST5121,M,3882,F,6,10,11,4,1
ST5122,M,3990,M,5,8,9,3,1
ST5123,M,3764,F,6,11,9,5,1
ST5124,M,4013,M,7,11,8,4,1
ST5125,M,4139,M,7,8,11,1,1
ST5126,M,3938,M,4,6,8,2,1
ST5127,M,4122,M,7,11,11,4,1
ST5128,M,3736,F,6,7,10,1,1
ST5129,M,3566,F,10,10,12,0,1
ST5130,H,3883,F,8,10,14,2,1
ST5131,M,3673,F,10,12,15,2,1
ST5132,M,3931,M,8,10,na,2,1
ST5133,H,3884,M,7,4,na,-3,1
ST5134,M,3873,M,9,10,na,1,1
ST521,M,3686,F,1,5,3,4,1
ST522,M,3584,F,6,4,4,-2,1
ST523,M,3435,M,5,7,5,2,1
ST524,M,3428,M,7,9,7,2,1
ST525,H,3639,M,4,5,4,1,1
ST526,M,3532,M,5,8,7,3,1
ST527,H,3729,M,8,11,13,3,1
ST528,M,3543,M,4,4,4,0,1
ST529,M,3776,F,6,10,7,4,1
ST5210,M,3562,M,7,9,7,2,1
ST5211,M,3520,F,6,8,7,2,1
ST5212,M,3780,F,6,6,8,0,1
ST5213,M,3736,F,5,8,10,3,1
ST5214,M,3633,M,3,8,7,5,1
ST5215,M,3632,M,5,8,5,3,1
ST5216,M,3639,F,6,11,4,5,1
ST5217,M,3639,F,5,10,13,5,1
ST5218,M,3582,M,2,5,6,3,1
ST5219,M,3690,M,5,9,10,4,1
ST5220,L,3596,F,5,5,7,0,1
ST5221,M,3529,M,6,6,7,0,1
ST5222,M,3432,M,9,6,8,-3,1
ST5223,M,3507,F,1,3,2,2,1
ST5224,M,3497,F,4,3,7,-1,1
ST5225,M,3576,M,4,6,7,2,1
ST5226,M,3777,F,8,9,13,1,1
ST5227,M,3701,F,3,6,6,3,1
ST5228,M,3662,M,4,8,7,4,1
ST5229,M,3754,F,2,8,10,6,1
ST5230,M,3728,M,7,5,6,-2,1
ST5231,M,3543,M,6,7,7,1,1
ST5232,M,3665,M,5,8,5,3,1
ST5233,M,3584,M,5,6,na,1,1
ST5234,M,3721,F,6,na,na,na,1
STG42a1,H,3783,M,3,6,5,3,1
STG42a2,H,3989,M,8,11,8,3,1
STG42a3,H,3953,M,6,5,5,-1,1
STG42a4,H,3989,M,6,10,7,4,1
STG42a5,H,3913,F,11,11,13,0,1
STG42a6,H,3982,F,6,12,11,6,1
STG42a7,H,3797,F,9,12,9,3,1
STG42a8,M,3731,M,4,6,4,2,1
STG42a9,M,3762,M,8,5,8,-3,1
STG42a10,M,3689,M,8,9,7,1,1
STG42a11,M,3783,M,8,9,10,1,1
STG42a12,M,3991,F,5,5,6,0,1
STG42a13,M,3740,F,4,11,9,7,1
STG42a14,M,3900,F,6,12,8,6,1
STG42a15,M,3747,F,5,7,6,2,1
STG42a16,M,3774,F,3,3,6,0,1
STG42a17,L,3877,M,10,8,10,-2,1
STG42a18,L,3998,M,3,5,1,2,1
STG42a19,L,3728,F,4,9,10,5,1
STG42a20,L,3673,F,6,6,6,0,1
STG42a21,L,3871,F,4,5,5,1,1
STG42a22,L,3891,F,6,8,na,2,1
STG42a23,L,3807,M,4,4,na,0,1
STG42a24,L,3731,M,4,7,na,3,1
STG42a25,M,3781,F,11,9,na,-2,1
STG42a26,M,3701,F,4,5,na,1,1
STG42a27,M,3701,M,8,6,na,-2,1
STG42b1,M,4013,M,7,9,na,2,1
STG42b2,M,3809,F,5,7,na,2,1
STG42b3,M,3775,M,5,9,na,4,1
STG42b4,L,3703,F,7,6,na,-1,1
STG42b5,M,3871,F,10,12,na,2,1
STG42b6,M,3904,M,1,11,na,10,1
STG42b7,L,3701,F,8,3,na,-5,1
STG42b8,H,3472,M,6,11,na,5,1
STG42b9,L,4268,M,5,7,na,2,1
STG42b10,L,3723,F,8,8,na,0,1
STG42b11,H,3603,F,6,12,na,6,1
STG42b12,H,3472,M,4,7,na,3,1
STG42b13,L,3753,M,7,11,na,4,1
STG42b14,M,3659,M,4,7,na,3,1
STG42b15,L,3735,M,3,2,na,-1,1
STG42b16,M,3719,F,8,11,na,3,1
STG42b17,M,3933,F,7,7,na,0,1
STG42b18,L,4023,M,6,8,na,2,1
STG42b19,M,3469,F,8,9,na,1,1
STG42b20,M,3808,M,5,7,na,2,1
STG42b21,L,3984,F,7,11,na,4,1
STG42b22,M,3899,M,7,8,na,1,1
STG42b23,M,3935,M,6,4,na,-2,1
STG42b24,M,3382,M,6,12,na,6,1
STG42b25,H,3876,F,10,na,na,na,1
STG42b26,L,3858,M,2,na,na,na,1
BB731,M,3775,F,4,5,na,1,2
BB732,H,3815,F,4,3,na,-1,2
BB733,L,3899,F,3,3,na,0,2
BB734,M,3880,F,5,7,na,2,2
BB735,H,3823,F,5,7,na,2,2
BB736,H,3494,F,6,6,na,0,2
BB737,H,3582,F,5,8,na,3,2
BB738,L,3409,F,4,6,na,2,2
BB739,L,3633,F,4,8,na,4,2
BB7310,M,3423,F,4,8,na,4,2
BB7311,L,4004,F,5,9,na,4,2
BB7312,M,3493,F,2,6,na,4,2
BB7313,L,4001,F,0,4,na,4,2
BB7314,L,3378,F,5,6,na,1,2
BB7315,M,3881,M,4,7,na,3,2
BB7316,M,4064,M,9,13,na,4,2
BB7317,M,3579,M,2,3,na,1,2
BB7318,M,3703,M,2,7,na,5,2
BB7319,H,3577,M,3,5,na,2,2
BB7320,L,3372,M,2,5,na,3,2
BB7321,H,3670,M,8,6,na,-2,2
BB7322,L,4004,M,4,5,na,1,2
BB7323,M,3855,M,7,9,na,2,2
BB7324,M,3993,M,4,8,na,4,2
BB7325,L,3896,M,4,5,na,1,2
BB7326,L,3550,M,5,8,na,3,2
BB741,L,3357,F,5,7,na,2,2
BB742,M,3877,F,6,11,na,5,2
BB743,M,3984,F,4,6,na,2,2
BB744,M,3672,F,7,10,na,3,2
BB745,M,3583,F,8,9,na,1,2
BB746,M,3432,F,7,11,na,4,2
BB747,H,3885,F,7,10,na,3,2
BB748,H,3880,F,6,9,na,3,2
BB749,H,4062,F,4,10,na,6,2
BB7410,H,3789,F,5,9,na,4,2
BB7411,H,4052,F,9,13,na,4,2
BB7412,H,3821,F,5,14,na,9,2
BB7413,L,3324,M,1,7,na,6,2
BB7414,L,3551,M,3,5,na,2,2
BB7415,L,4081,M,3,7,na,4,2
BB7416,M,3417,M,7,8,na,1,2
BB7417,M,3415,M,6,6,na,0,2
BB7418,M,3501,M,3,7,na,4,2
BB7419,M,3365,M,3,8,na,5,2
BB7420,H,3564,M,2,7,na,5,2
BB7421,H,3984,M,4,8,na,4,2
BB7422,H,3382,M,3,11,na,8,2
BB7423,M,3777,M,3,5,na,2,2
BB7424,M,4074,M,4,na,na,na,2
BB7425,M,3896,M,7,na,na,na,2
BB7426,H,3667,F,5,na,na,na,2
BB7427,L,3769,M,3,na,na,na,2
HO751,H,4010,M,7,9,na,2,2
HO752,H,4010,F,6,10,na,4,2
HO753,M,3849,F,6,9,na,3,2
HO754,L,3803,M,5,6,na,1,2
HO755,H,4078,F,8,11,na,3,2
HO756,H,3954,F,6,11,na,5,2
HO757,M,3904,M,8,8,na,0,2
HO758,M,4102,M,6,7,na,1,2
HO759,H,4136,M,3,6,na,3,2
HO7510,L,4141,F,8,12,na,4,2
HO7511,M,3878,M,6,10,na,4,2
HO7512,L,4096,F,6,9,na,3,2
HO7513,L,4096,M,2,6,na,4,2
HO7514,L,3807,F,2,3,na,1,2
HO7515,H,4135,F,8,10,na,2,2
HO7516,H,4126,M,8,8,na,0,2
HO7517,H,4026,M,4,9,na,5,2
HO7518,H,4097,F,8,10,na,2,2
HO7519,H,3972,M,7,9,na,2,2
HO7520,M,4001,M,8,9,na,1,2
HO7521,H,4082,F,8,8,na,0,2
HO7522,H,3916,M,9,10,na,1,2
HO7523,L,3837,M,7,5,na,-2,2
HO7524,L,3853,F,8,7,na,-1,2
HO761,L,3453,F,4,8,na,4,2
HO762,H,3427,F,8,11,na,3,2
HO763,H,3440,M,9,13,na,4,2
HO764,L,3551,F,5,9,na,4,2
HO765,M,3500,M,9,13,na,4,2
HO766,M,3427,F,7,12,na,5,2
HO767,L,3332,F,8,11,na,3,2
HO768,M,3779,F,11,13,na,2,2
HO769,M,3599,F,8,12,na,4,2
HO7610,H,3599,M,7,12,na,5,2
HO7611,M,3617,F,6,12,na,6,2
HO7612,H,3585,M,3,7,na,4,2
HO7613,L,3679,M,5,10,na,5,2
HO7614,H,3631,M,11,13,na,2,2
HO7615,M,3518,M,7,8,na,1,2
HO7616,H,3769,M,8,12,na,4,2
HO7617,H,3571,M,8,13,na,5,2
HO7618,M,3582,M,7,9,na,2,2
HO7619,H,3681,F,9,12,na,3,2
HO7620,L,3568,M,4,9,na,5,2
HO7621,H,3525,F,10,13,na,3,2
HO7622,L,3756,F,6,12,na,6,2
HO7623,M,3357,M,5,12,na,7,2
HO7624,H,3597,M,6,10,na,4,2
HO7625,M,3679,F,10,10,na,0,2
HO7626,M,3492,M,8,na,na,na,2
HO7627,M,3664,M,8,na,na,na,2
